Detail of Gifts,Item Category,Name of Recipient,Affiliation,Date,Assessed Value,Retention Cost,Retained,Remarks
"One  decoration
piece",Decoration Pieces,"General  Parvez Musharraf, President
/ Chief Executive of Pakistan",Military,8/10/2002,1800,0,Yes,Yes
One box of tea,Food,"General  Parvez Musharraf, President
/ Chief Executive of Pakistan",Military,8/10/2002,400,0,Yes,Yes
"a. One necklace
b. One saree",Jewellery/Accessories,"Begum  General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,8/10/2002,7000,0,Yes,Yes
One saree,Clothes,"Begum  General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,8/10/2002,1500,0,Yes,Yes
"One  piece  of
cloth  with
dupata",Clothes,"Begum  General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,8/10/2002,1000,0,Yes,Yes
One saree,Clothes,"Begum  General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,8/10/2002,1500,0,Yes,Yes
"One  piece  of
cloth",Clothes,"Major  General  Nadeem  Taj,  Military
Secretary to Chief Executive",Military,8/10/2002,1000,0,Yes,Yes
One Saree,Clothes,Mrs. Nadeem Taj,Military,8/10/2002,1000,0,Yes,Yes
One Shirt,Clothes,"Lt.  Col.  Mirza  Kamran  Zia,  Deputy
Military Secretary to Chief Executive",Military,8/10/2002,350,0,Yes,Yes
One Shirt,Clothes,"Col.  Muhammad  Ilyas,  Chief
Security  Officer  to  the  Chief
Executive",Military,8/10/2002,350,0,Yes,Yes
One shirt,Clothes,"Brig.  Tasawar  Hussain,  Personal
physician to CE",Military,8/10/2002,350,0,Yes,Yes
One shirt,Clothes,"Mr. Mohsin Hafeez, JS (D) Sect.",Military,8/10/2002,350,0,Yes,Yes
"One  model  of
Omayyad
Mosque",Decoration Pieces,"General  Pervez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,8/17/2002,4500,0,Yes,Yes
"Two  Box  Printed
Chinese Silk",Clothes,"Mr.  Shaukat  Aziz,  Minister  for
Finance",Gen. Musharraf,8/20/2002,300,0,Yes,Yes
"Wrist  Watch
(Concord)",Watch,"Mr.  Imtiaz  A.  Kazi,  Director  (Gulf
Region), Foreign Affairs",Bureaucracy,8/20/2002,75000,9750,Yes,Yes
"One  Engraved
Bowl",Decoration Pieces,"Mr.  Shaukat  Aziz,  Minister  for
Finance",Gen. Musharraf,8/21/2002,2700,0,Yes,Yes
"a.  One  Gent’s
Wrist  Watch
Roberge
b.  Ladies  wrist
watch Roberge
c.  Fountain  Pen
Roberge
d.  One  Gents
Ring  with
Cufflinks
e.  Ladies  ring
with ear studs
f. One Tasbih
g.  One  Brief
Case",Watch,"Mr.  Abdul  Sattar,  Former  Foreign
Minister",Gen. Musharraf,8/26/2002,216850,31028,Yes,Yes
One shirt,Clothes,"Col  Salik  Nawaz  (Retd),  Deputy
Chief  Protocol  Ministry  of  Foreign
Affairs",Military,8/28/2002,0,0,Yes,Yes
"Cufflinks  Set
insignia",Jewellery/Accessories,"Dr.  Atta-ur-Rehman,  Minister  for
Science & Technology",Gen. Musharraf,8/28/2002,0,0,Yes,Yes
"Four  Marble
decoration
pieces",Decoration Pieces,"Mr.  Shaukat  Aziz,  Minister  for
Finance",Gen. Musharraf,8/29/2002,1500,0,Yes,Yes
"Wrist  Watch
(Concord)",Watch,"Mr.  Noorullah  Khan,  Director
General (ME), Foreign Affairs",Gen. Musharraf,8/29/2002,75000,9750,Yes,Yes
"Wrist  Watch
(Concord)",Watch,"Major  General  Nadeem  Taj,  Military
Secretary to Chief Executive",Military,8/30/2002,75000,9750,Yes,Yes
"One Wrist Watch
(Audmars
Piguet)  with  pair
of  ear  studs  &
one ring in white
gold & Diamond",Watch,Mrs. (Major General Nadeem Taj),Military,8/30/2002,101500,0,Yes,Yes
"Wrist  Watch
(Concord)",Watch,"Lt. Col. Ejaz Shahid, APS (C)",Military,8/30/2002,75000,9750,Yes,Yes
"Wrist  Watch
(Concord)",Watch,"Major  (Dr)  Abdul  Basit,  Medical
Officer, Army House.",Military,8/30/2002,75000,9750,Yes,Yes
"Wrist  Watch
(Concord)",Watch,"Mr.  Saifullah,  UDC  (BS-07),
President Sectt.",Bureaucracy,8/31/2002,75000,0,Yes,Yes
"One  table  clock
with  replica  of
Horse",Decoration Pieces,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,8/31/2002,100860,15129,Yes,Yes
"One  jewelry  set
consisting of one
necklace,  one
bracelet, one ear
ring & one ring",Jewellery/Accessories,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,8/31/2002,304400,0,Yes,Yes
a. One shield,Decoration Pieces,"General  Pervez  Musharraf,",Military,8/31/2002,0,747,Amount,Amount
One Carpet,Carpet,"Mr.  Altaf  M.  Saleem,  Minister  for
Privatization Commission ",Gen. Musharraf,9/2/2002,10000,0,Yes,Yes
One carpet,Carpet,"Mr.  Shaukat  Aziz,  Minister  for
Finance",Gen. Musharraf,9/4/2002,10000,0,Yes,Yes
"One  kettle
alongwith  two
small cups  and
saucer",Crockery,"Mr.  Shaukat  Aziz,  Minister  for
Finance",Gen. Musharraf,9/4/2002,1800,0,Yes,Yes
"One  dinner  set
(180 pcs)",Crockery,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,9/4/2002,16000,900,Yes,Yes
"One  dinner  set
(46 pcs)",Crockery,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,9/4/2002,7000,0,Yes,Yes
"One  dinner  set
(45 pcs)",Crockery,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,9/4/2002,7000,0,Yes,Yes
"One  tea  set  (17
pcs)",Crockery,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,9/4/2002,4000,0,Yes,Yes
"One  tea  set  (09
pcs)",Crockery,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,9/4/2002,2500,0,Yes,Yes
One necklace,Jewellery/Accessories,"Begum  General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,9/4/2002,15000,750,Yes,Yes
"One  great  seal
of US",Decoration Pieces,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,9/4/2002,0,0,Yes,Yes
"One  replica  of
Horse",Decoration Pieces,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,9/4/2002,15000,750,Yes,Yes
"One  decoration
piece  alongwith
stand",Decoration Pieces,"Mr.  Shaukat  Aziz,  Minister  for
Finance",Gen. Musharraf,9/6/2002,1200,0,Yes,Yes
"One  Wrist  watch
(Tiffany & Co)",Watch,"Maj Sher Ali Baz, Security Officer",Military,9/14/2002,25000,2250,Yes,Yes
"Wrist  Watch
(Concord)",Watch,"Hav. Hakim Badshah, Gunman",Police,9/14/2002,30000,3000,Yes,Yes
"Wrist  Watch
(Concord)",Watch,"NK  Tariq  Mahmood,  Gunman  (BS-
09)",Military,9/14/2002,30000,0,Yes,Yes
"Wrist  Watch
(Concord)",Watch,"L/NK  Daud-ur-Rehman,  Gunman
(BS-07)",Military,9/14/2002,30000,0,Yes,Yes
"Wrist  Watch
(Concord)",Watch,"Sep. Arshad Alam, Gunman (BS-05)",Military,9/14/2002,30000,0,Yes,Yes
"Wrist  Watch
(Concord)",Watch,"Mr.  Zahoor  Ahmed,  Gunman,  (BS-
05)",Police,9/14/2002,30000,0,Yes,Yes
"Wrist  Watch
(Concord)",Watch,"Mr.  Muhammad  Kamil,  Controller
Engineering (PTV)",Media,9/17/2002,30000,3000,Yes,Yes
"One Wrist Watch
(Concord)",Watch,"Mr.  S.  Iqtidar  Hussain Kausar,  Chief
Cameraman, PTV",Media,9/21/2002,30000,3000,Yes,Yes
"Wrist  Watch
(Concord)",Watch,"Mr. Muhammad Tariq, Photographer,
PID",Media,9/26/2002,30000,3000,Yes,Yes
"a.  One  tray
(Tiffany)
b.  One  crystal
Insignia",Decoration Pieces,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,10/1/2002,2000,0,Yes,Yes
"One  Seal  of  the
State of Illinois",Decoration Pieces,"General  Pervez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,10/1/2002,1500,0,Yes,Yes
One wooden box,Decoration Pieces,"General  Pervez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,10/1/2002,1000,0,Yes,Yes
One model,Decoration Pieces,"General  Pervez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,10/1/2002,0,0,Yes,Yes
One bowl,Decoration Pieces,"General  Pervez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,10/1/2002,1800,0,Yes,Yes
"One  battery
powered light",Tech,"General  Pervez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,10/1/2002,3500,0,Yes,Yes
One silk scarf,Clothes,"General  Pervez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,10/1/2002,60,0,Yes,Yes
"One  wooden
shield",,"General  Pervez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,10/1/2002,0,0,Yes,Yes
"Six  mates  and
one tray,",,"General  Pervez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,10/1/2002,1200,0,Yes,Yes
"One  Pen  with
stand",Pen,"General  Pervez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,10/1/2002,600,0,Yes,Yes
"One  crystal  Seal
of  the  state  of
Illinois",Decoration Pieces,"Begum  General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,10/1/2002,0,0,Yes,Yes
"One  Pictorial
Book",,"Mr.  Altaf  M.  Saleem,  Minister  for
Privatization Commission ",Gen. Musharraf,10/5/2002,0,0,Yes,Yes
One Mirror,Decoration Pieces,"Mr.  Altaf  M.  Saleem,  Minister  for
Privatization Commission ",Gen. Musharraf,10/5/2002,1500,0,Yes,Yes
"Olive  oil  (two
tin)  (one  kg
each)",Food,"Mr.  Altaf  M.  Saleem,  Minister  for
Privatization Commission ",Gen. Musharraf,10/16/2002,300,0,Yes,Yes
"One  Tea  Sets
(21 Pieces)",Crockery,"Mr.  Abdul  Razak  Dawood,  Minister
for  Commerce,  Industries  and
Production",Gen. Musharraf,10/19/2002,3500,0,Yes,Yes
"One  Tea  Set  (21
Pieces) (each)",Crockery,"Mr.  Abdul  Razak  Dawood,  Minister
for  Commerce,  Industries  and
Production",Gen. Musharraf,10/19/2002,3500,0,Yes,Yes
"One  wrist  watch
(Longines)",Watch,"Mr.  Shaukat  Aziz,  Minister  for
Finance",Gen. Musharraf,10/22/2002,20000,1500,Yes,Yes
"One  single
Bracelet
(Bangle)  (Gold",Jewellery/Accessories,"Mrs.  Shaukat  Aziz  wife  of  Finance
Minister",Gen. Musharraf,10/22/2002,26000,0,Yes,Yes
One Ladies Shirt,Clothes,"Mrs.  Shaukat  Aziz  wife  of  Finance
Minister",Gen. Musharraf,10/22/2002,400,0,Yes,Yes
"Wrist  Watch
(Concord)",Watch,"Mr. Anwar Saeed, Controller, (News)
CNO, PBC, Islamabad",Media,10/29/2002,30000,0,Yes,Yes
"One  Printed
Table Cloth",Decoration Pieces,"Mr.  Shaukat  Aziz,  Minister  for
Finance",Gen. Musharraf,10/30/2002,400,0,Yes,Yes
"One Wrist Watch
Bvlgari  (BB  33
SGL/L172880)",Watch,"Mr.  Riaz  Khokhar,  Secretary,
Ministry of Foreign Affairs",Gen. Musharraf,11/1/2002,0,4500,Yes,Yes
"One Wrist Watch
Bvlgari  (BB  33
SL  Auto – L
8290)",Watch,"Mr.  Sher  Afgan  Khan,  Additional
Secretary  (ME&A),  Ministry  of
Foreign Affairs",Gen. Musharraf,11/1/2002,0,3300,Yes,Yes
"Wrist  watch
JAEGER-LE
COULTRF      5
ATM)",Watch,"Dr.  Muhammad  Tariq  Hassan,
Advisor to Finance Minister",Gen. Musharraf,11/4/2002,44550,5183,Yes,Yes
Metallic Horse,Decoration Pieces,"Minister  for  Information  &  Media
Development",Gen. Musharraf,11/5/2002,3000,0,Yes,Yes
One Steel Box,Decoration Pieces,"Mr.  Shaukat  Aziz,  Minister  for
Finance",Gen. Musharraf,11/25/2002,2500,0,Yes,Yes
One flower Vase,Decoration Pieces,"Secretary, Economic Affairs Division",Bureaucracy,12/3/2002,400,0,Yes,Yes
"One (white) gold
set (three piece)",Jewellery/Accessories,"Mr.  Shaukat  Aziz  Advisor  to  PM  on
Finance & Economic Affairs",Gen. Musharraf,12/10/2002,178760,25314,Yes,Yes
"a.  One  Wrist
watch (Piaget)",Watch,"Mr.  Shaukat  Aziz  Advisor  to  PM  on
Finance & Economic Affairs",Gen. Musharraf,12/10/2002,68000,14460,Yes,Yes
"One visiting card
Holder",,"Advisor  to  the  Prime  Minister  on
Finance & Economic Affairs",Gen. Musharraf,12/14/2002,300,0,Yes,Yes
"One  jewellery
box",Jewellery/Accessories,"General  Pervez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,10/2/2002,2000,0,Yes,Yes
"a.  One  silver
bowl with lid
b.  One  set  of
books",Decoration Pieces,"General  Pervez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,10/29/2002,3500,0,Yes,Yes
"a.  One  Marble
Table writing set
b.  Two  piece  of
cloth
c. One clay plate
d.  One  stone
necklace
e.  Two  painting
books
f.  One  packet
having  ladies
velvet coat",Decoration Pieces,"General  Pervez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,10/29/2002,7500,0,Yes,Yes
"a.  One  piece  of
cloth
b.  One  Stone
Necklace
c.  One  ladies
velvet coat
d.  One  packet
containing book",Jewellery/Accessories,"Major  General  Nadeem  Taj,  Military
Secretary to Chief Executive",Military,10/29/2002,3800,0,Yes,Yes
Pen set,Pen,"Mr.  Shaukat  Aziz,  Advisor  to  the
Prime  Minister  on  Finance  and",Gen. Musharraf,12/12/2002,1500,0,Auctioned,"Auctioned
for"
"One  wooden
box",,"Mr.  Shaukat  Aziz,  Advisor  to  the
Prime  Minister  on  Finance  and
Economic Affairs",Gen. Musharraf,12/20/2002,1200,0,Yes,Yes
Flower vase,Decoration Pieces,"Mr.  Shaukat  Aziz,  Advisor  to  the
Prime  Minister  on  Finance  and
Economic Affairs",Gen. Musharraf,12/27/2002,1000,0,Yes,Yes
"One
handmade
Irani  Carpet
and a pack of
Pistachio",Carpet,"General  Parvez Musharraf, President
of Pakistan",Military,12/30/2002,30000,3000,Yes,Yes
"a. One carpet
b. One  pen  set
Cross",Carpet,"Mir  Zafarullah  Khan  Jamali,  Prime
Minister of Pakistan",Gen. Musharraf,12/31/2002,11000,150,Yes,Yes
"Ice  cream  Bowl
Set",Crockery,"Mr.  Waqar  Masood
Khan,  Secretary,
Economic Affairs",Gen. Musharraf,1/2/2003,500,0,Auctioned,"Auctioned for
Rs.1,111/-"
"One  decoration
piece of horse",Decoration Pieces,"Mr.  Shaukat  Aziz,
Advisor to the Prime
Minister  on  Finance
and  Economic
Affairs",Gen. Musharraf,1/7/2003,1000,0,Auctioned,"Auctioned for
Rs.1,615/-"
One carpet,Carpet,"Mir  Zafarullah  Khan
Jamali,  Prime
Minister of Pakistan",Gen. Musharraf,1/9/2003,30000,3000,Yes,Yes
"One  decoration
plate",Decoration Pieces,"Brig.  Imran  Malik,
Military  Secretary  to
the Prime Minister",Military,1/9/2003,350,0,Yes,Yes
One wall clock,Decoration Pieces,"Cdr. Ejaz Shah, OSD
Admin,  PM
Secretariat",Military,1/9/2003,400,0,Yes,Yes
One wall clock,Decoration Pieces,"Sqdn  Ldr  Waqar
Ahmed,  ADC  to  the
Prime Minister",Military,1/9/2003,400,0,Yes,Yes
Decoration piece,Decoration Pieces,"Mr.  Aurangzeb
Khan,  Comptroller
Household,  Prime
Minister, Secretariat",Military,1/9/2003,4500,0,Yes,Yes
"One  decoration
plate",Decoration Pieces,"Capt.  Shah  Nawaz
Jamali,  ADC  to  the
Prime Minister",Military,1/9/2003,350,0,Yes,Yes
"Pair  of  candle
stand",,"Capt  (R)  Abdul
Saeed,  SP  Security
Prime  Minister
Secretariat",Military,1/9/2003,3000,0,Yes,Yes
One Flower vase,Decoration Pieces,"Malik  Nisar  Ahmed,
Suptt Prime Minister
Secretariat",Bureaucracy,1/9/2003,3500,0,Yes,Yes
One flower vase,Decoration Pieces,"Mr.  Mushtaq
Ahmed,  Assistant
Prime  Minister
Secretariat",Bureaucracy,1/9/2003,3500,0,Yes,Yes
"Pair  of  Candle
Stand",,"Mr. Khadim Hussain,
Assistant,  Prime
Minister Secretariat",Bureaucracy,1/9/2003,3000,0,Yes,Yes
"Pair  of  Candle
Stand",,"Mr.  Zahid  Sarfraz,
UDC  Prime  Minister
Secretariat",Bureaucracy,1/9/2003,3000,0,Yes,Yes
"Pair  of  candle
stand",,"Mr.  Talat  Mehmood,
UDC  Prime  Minister
Secretariat",Bureaucracy,1/9/2003,3000,0,Yes,Yes
Flower vase,Decoration Pieces,"Mr.  Zafar  Iqbal,
UDC,  Prime  Minister
Secretariat",Bureaucracy,1/9/2003,3500,0,Yes,Yes
Flower vase,Decoration Pieces,"Mr.  M.  Adnan  Jamil,
LDC  Prime  Minister
Secretariat",Bureaucracy,1/9/2003,3500,0,Yes,Yes
"Pair  of  candle
stand",,Foreign Secretary,Bureaucracy,1/11/2003,3000,0,Yes,Yes
"Model  of  Khana
Kaaba",,"Zafarullah  khan
Jamali,  Prime
Minister of Pakistan",Gen. Musharraf,1/15/2003,50000,0,"Displayed at PM
House","Displayed at PM
House"
"Piece  of  Ghilaf  e
Kaaba",,"Zafarullah  khan
Jamali,  Prime
Minister of Pakistan",Gen. Musharraf,1/15/2003,0,0,Yes,Yes
"One  wrist  watch,
Bulgari  (No.RT  45
S L-9366)",Watch,"Brig  Imran  Malik,
Military  Secretary  to
the Prime Minister",Military,1/15/2003,72000,9300,Yes,Yes
"One  wrist  watch,
Bulgari  (No.BB  33
SS L-9366)",Watch,"Brig  (R)  Mansoor
Hamid,  Special
Assistant  to  the
Prime Minister",Military,1/15/2003,62000,7800,Yes,Yes
"One  wrist  watch,
Bulgari",Watch,"Mr.  Shaukat  Aziz,
Advisor to the Prime
Minister  on  Finance
and  Economic
Affairs",Gen. Musharraf,1/16/2003,62000,7800,Yes,Yes
One carpet,Carpet,"Mr.  Aftab  Ahmed
Khan  Sherpao,
Minister  for  Water  &
Power",Gen. Musharraf,1/20/2003,4500,0,Yes,Yes
"One  tea  set  20
pieces",Crockery,"Mr.  Aftab  Ahmed
Khan  Sherpao,
Minister  for  Water  &
Power",Gen. Musharraf,1/20/2003,2200,0,Auctioned,"Auctioned for
Rs.1,500/-"
"One  wrist  watch
Tissot (1853)",Watch,Foreign Minister,Gen. Musharraf,1/20/2003,5200,0,Auctioned,"Auctioned for
Rs.4,000/-"
"a. One wrist watch
b. One medal
c. One calendar",Watch,"Mr.  Awais  Ahmed
Khan  Leghari,
Minister  for  IT  &
Telecommunications",Gen. Musharraf,1/21/2003,0,0,Auctioned,"Auctioned
a. for Rs.1,001/-
b. for Rs.1,180/-"
"One  decoration
piece of Horse",Decoration Pieces,"Ch.  Amir  Hussain,
Speaker  National
Assembly",Gen. Musharraf,1/21/2003,1000,0,Auctioned,"Auctioned for
Rs.3,500/-"
"One  decoration
frame",Decoration Pieces,"Ch.  Amir  Hussain,
Speaker  National
Assembly",Gen. Musharraf,1/21/2003,4500,0,"Displayed at
Prime Ministers
House","Displayed at
Prime Ministers
House"
"Wrist  watch,
Chopard",Watch,"Mr.  Khushnood  Ali
Khan",Media,1/31/2003,85000,11250,Yes,Yes
"a. One  Gold  bangle
and a Gold Ring
b. One  Mobile  set
Nokia",,"Mr.  Khushnood  Ali
Khan",Media,1/31/2003,33000,3450,Yes,Yes
"One  wrist  watch
Rolex",Watch,Mr. Nawaz Raza,Media,1/31/2003,115000,15750,Yes,Yes
"One  Wrist  watch
RADO",Watch,Mr. Nawaz Raza,Media,1/31/2003,18000,1275,Yes,Yes
"One  wrist  watch
Chopard",Watch,Mr. Saleem Bokhari,Media,1/31/2003,80000,10500,Yes,Yes
"One  wrist  watch
RADO",Watch,Mr. Saleem Bokhari,Media,1/31/2003,18000,1200,Yes,Yes
"One  wrist  watch
Chopard",Watch,"Mr.  Aamir  Ilyas
Rana",Media,1/31/2003,85000,0,Yes,Yes
"One  wrist  watch
RADO",Watch,"Mr.  Aamir  Ilyas
Rana",Media,1/31/2003,18500,0,Yes,Yes
"One  wrist  watch
Chopard",Watch,Mr. Tariq Mahmood,Media,1/31/2003,80000,0,Yes,Yes
"One  wrist  watch
RADO",Watch,Mr. Tariq Mahmood,Media,1/31/2003,18500,0,Yes,Yes
"One  wrist  watch
Rolex",Watch,Mr. Shakoor Tahir,Media,1/31/2003,335000,0,Yes,Yes
"a. One  Gold  Bangle
and ring
b. Mobile set Nokia",,Mr. Shakoor Tahir,Media,1/31/2003,35200,0,Yes,Yes
"One  wrist  watch
Chopard",Watch,Mr. Abdul Hamid,Media,1/31/2003,85000,11250,Yes,Yes
"One  wrist  watch
RADO",Watch,Mr. Abdul Hamid,Media,1/31/2003,18000,1200,Yes,Yes
"One  wrist  watch
Chopard",Watch,Mr. Qamarullah Ch.,Media,1/31/2003,80000,10500,Yes,Yes
"One  wrist  watch
RADO",Watch,Mr. Qamarullah Ch.,Media,1/31/2003,18500,1275,Yes,Yes
"One  wrist  watch
Chopard",Watch,Mr. Tariq Saleem,Media,1/31/2003,80000,10500,Yes,Yes
"One  wrist  watch
RADO",Watch,Mr. Tariq Saleem,Media,1/31/2003,18000,1200,Yes,Yes
"One  wrist  watch
Chopard",Watch,"Mr.  Muhammad
Younis Khan",Media,1/31/2003,85000,11250,Yes,Yes
"One  wrist  watch
RADO",Watch,"Mr.  Muhammad
Younis",Media,1/31/2003,18500,1275,Yes,Yes
"One  wrist  watch
Chopard",Watch,"Syed  Javid  Hasnain
Kazmi,  cameraman
PTV news",Media,1/31/2003,85000,11250,Yes,Yes
"One  wrist  watch
RADO",Watch,"Syed  Javid  Hussain
Kazmi,  cameraman
PTV news",Media,1/31/2003,18500,1275,Yes,Yes
"One  wrist  watch
Chopard",Watch,Mr. Mohsin Ali,Media,1/31/2003,0,11250,Yes,Yes
"One  wrist  watch
RADO",Watch,Mr. Mohsin Ali,Media,1/31/2003,0,1350,Yes,Yes
"a. One laptop Acer
b. Jewelry Set
c. Wrist  watch
Danniel Roth",Watch,"Mr.  Abdus  Sattar
Laleka,  Labour
Minister",Gen. Musharraf,2/1/2003,214500,30675,Yes,Yes
Two golden coins,,"Mr.  Abdus  Sattar
Laleka,  Labour
Minister",Gen. Musharraf,2/1/2003,32800,3420,Yes,Yes
"Wrist  watch
Concord",Watch,"Mr.  Abdus  Sattar
Laleka,  Labour
Minister",Gen. Musharraf,2/1/2003,55000,6750,Yes,Yes
Flower vase,Decoration Pieces,"Mr.  Abdus  Sattar
Laleka,  Labour
Minister",Gen. Musharraf,2/1/2003,4000,0,Yes,Yes
One table clock,,"Mr.  Abdus  Sattar
Laleka,  Labour
Minister",Gen. Musharraf,2/1/2003,25000,2250,Yes,Yes
Wrist watch Rolex,Watch,"Syed  Afzal  Hussain
Shah,  protocol
Officer, Foreign
Affairs",Gen. Musharraf,2/1/2003,270000,39000,Yes,Yes
"a. Two  gold  items
and
b. one  mobile  set
Nokia",,"Syed  Afzal  Hussain
Shah,  Protocol
Officer,  Foreign
Affairs",Gen. Musharraf,2/1/2003,27500,2625,Yes,Yes
"One  wrist  watch
Chaumet",Watch,"Syed  Afzal  Hussain
Shah,  Protocol
Officer,  Foreign
Affairs",Gen. Musharraf,2/1/2003,45000,5250,Yes,Yes
Wrist watch Rolex,Watch,"Col.  Salik  Nawaz,
Deputy  Chief  of
Protocol,  Foreign
Affairs",Military,2/1/2003,335000,48750,Yes,Yes
"a. Two gold items
b. one  mobile  set
Nokia",,"Col.  Salik  Nawaz,
Deputy  Chief  of
Protocol,  Foreign
Affairs",Military,2/1/2003,41500,4725,Yes,Yes
"One  wrist  watch
Chaumet",Watch,"Col.  Salik  Nawaz,
Deputy  Chief  of
Protocol,  Foreign
Affairs",Military,2/1/2003,0,5250,Yes,Yes
"One  gift  pack
containing  four
cups  with  saucers
and tea pot",Crockery,"General  Parvez
Musharraf, President
of Pakistan",Military,2/3/2003,3000,0,Yes,Yes
"One  wrist  watch,
Bulgari (BB 33 SS
AUTO J 286595)",Watch,"Mr.  Riaz  H.
Khokhar,  Foreign
Secretary",Bureaucracy,2/3/2003,62000,7800,Yes,Yes
Wrist watch Rolex,Watch,"Sheikh  Rashid
Ahmed,  Minister  for
Information  and
Media Development",Gen. Musharraf,2/3/2003,0,54750,Yes,Yes
"a. Laptop Acer
b. Brief Case
c. Jewelry Set",,"Sheikh  Rashid
Ahmed,  Minister  for
Information  and
Media Development",Gen. Musharraf,2/3/2003,159938,22491,Yes,Yes
"One  wrist  watch
Concord",Watch,"Sheikh  Rashid
Ahmed,  Minister  for
Information  and
Media Development",Gen. Musharraf,2/3/2003,55000,6750,Yes,Yes
Two gold Coins,,"Sheikh  Rashid
Ahmed,  Minister  for
Information  and
Media Development",Gen. Musharraf,2/3/2003,32800,3420,Yes,Yes
